Links ,Que_Language,vote_average,vote_count,Type,problems,Topic
https://leetcode.com/problems/maximum-subarray/,English,7.2,11800,array,"Given an integer array nums, find the 
subarray
 with the largest sum, and return its sum.
", Maximum Subarray
https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,English,6.9,4500,array,You are given an array prices where prices[i] is the price of a given stock on the ith day.,Best Time to Buy Sell Stock
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,English,6.3,4466,array,"You are given an integer array prices where prices[i] is the price of a given stock on the ith day.
On each day, you may decide to buy and/or sell the stock. You can only hold at most one share of the stock at any time. However, you can buy it then immediately sell it on the same day.Find and return the maximum profit you can achieve", Best Time to Buy Sell Stock II
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,English,7.6,9106,array,"You are given an array prices where prices[i] is the price of a given stock on the ith day.
Find the maximum profit you can achieve. You may complete at most two transactions.
",Best Time to Buy Sell Stock III
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,English,6.1,2124,array,"You are given an integer array prices where prices[i] is the price of a given stock on the ith day, and an integer k. Find the maximum profit you can achieve. You may complete at most k transactions.
",Best Time to Buy Sell Stock IV
https://leetcode.com/problems/find-the-duplicate-number/,English,5.9,3576,array,"Given an array of integers nums containing n + 1 integers where each integer is in the range [1, n] inclusive.",Find the Duplicate Number
https://leetcode.com/problems/search-a-2d-matrix/,English,7.4,3330,array _with _matrix,"You are given an m x n integer matrix matrix with the following two properties:

Each row is sorted in non-decreasing order.
The first integer of each row is greater than the last integer of the previous row.",Search a 2D Matrix
https://leetcode.com/problems/powx-n/,English,7.3,6767,array _with _matrix,"Implement pow(x, n), which calculates x raised to the power n (i.e., xn).
","Pow(x, n)"
https://leetcode.com/problems/majority-element/,English,7.4,5293,array _with _matrix,"Given an array nums of size n, return the majority element.The majority element is the element that appears more than ⌊n / 2⌋ times. You may assume that the majority element always exists in the array",Majority Element
https://leetcode.com/problems/majority-element-ii/,English,5.7,7004,array _with _matrix,"Given an integer array of size n, find all elements that appear more than ⌊ n/3 ⌋ times.", Majority Element II
https://leetcode.com/problems/unique-paths/,English,5.4,1400,array _with _matrix,"There is a robot on an m x n grid. The robot is initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m - 1][n - 1]). The robot can only move either down or right at any point in time.

Given the two integers m and n, return the number of possible unique paths that the robot can take to reach the bottom-right corner.

The test cases are generated so that the answer will be less than or equal to 2 * 109.", Unique Paths
https://leetcode.com/problems/reverse-pairs/,English,6.1,2965,array _with _matrix,"Given an integer array nums, return the number of reverse pairs in the array.

A reverse pair is a pair (i, j) where:

0 <= i < j < nums.length and
nums[i] > 2 * nums[j].", Reverse Pairs
https://leetcode.com/problems/longest-consecutive-sequence/,English,7,5246,array _with_hash,"Given an unsorted array of integers nums, return the length of the longest consecutive elements sequence.

You must write an algorithm that runs in O(n) time.",Longest Consecutive Sequence
https://practice.geeksforgeeks.org/problems/largest-subarray-with-0-sum/1,English,5.9,2311,array _with_hash,Given an array having both positive and negative integers. The task is to compute the length of the largest subarray with sum 0.,Count the number of subarrays having a given XOR
https://www.geeksforgeeks.org/count-number-subarrays-given-xor/,English,6.5,6359,array _with_hash,"Given an array of integers arr[] and a number m, count the number of subarrays having XOR of their elements as m.",Fibonacci Number
https://leetcode.com/problems/fibonacci-number/,English,6.3,1630,recurrsion,"The Fibonacci numbers, commonly denoted F(n) form a sequence, called the Fibonacci sequence, such that each number is the sum of the two preceding ones, starting from 0 and 1. That is,

F(0) = 0, F(1) = 1
F(n) = F(n - 1) + F(n - 2), for n > 1.
Given n, calculate F(n).","Pow(x, n)"
https://leetcode.com/problems/powx-n/,English,7.4,11776,recurrsion,"Implement pow(x, n), which calculates x raised to the power n (i.e., xn).", Valid Palindrome II
https://leetcode.com/problems/valid-palindrome-ii/,English,6.4,4948,recurrsion,"Given a string s, return true if the s can be palindrome after deleting at most one character from it.",Subset Sums
https://practice.geeksforgeeks.org/problems/subset-sums2234/1,English,6.2,4160,recurrsion,"Given a list arr of N integers, print sums of all subsets in it.",Subsets
https://leetcode.com/problems/subsets/,English,7.1,4760,recurrsion,"Given an integer array nums of unique elements, return all possible 
subsets
 (the power set).
",Subsets II
https://leetcode.com/problems/subsets-ii/,English,6.5,6586,recurrsion,"Given an integer array nums that may contain duplicates, return all possible 
subsets
 (the power set).

The solution set must not contain duplicate subsets. Return the solution in any order.", Permutations
https://leetcode.com/problems/permutations/,English,6.2,1398,recurrsion,"Given an array nums of distinct integers, return all the possible permutations. You can return the answer in any order.",Permutations II
https://leetcode.com/problems/permutations-ii/,English,7.6,4524,recurrsion,"Given a collection of numbers, nums, that might contain duplicates, return all possible unique permutations in any order.",Combinations
